identifier,labels,de,de-CH,en-GH,en-US,es,es-AR,es-CO,fr,fr-CA,nl,source
ChildSDQitems,parent_survey_child,Ihr Kind klagt häufig über Unwohlsein (z. B. Kopf- oder Bauchschmerzen).,Ihr Kind klagt häufig über Unwohlsein (z. B. Kopf- oder Bauchschmerzen).,,,"Su niño(a) se queja a menudo de sentirse enfermo (por ejemplo, dolor de cabeza o de estómago).","Su niño(a) se queja a menudo de sentirse enfermo (por ejemplo, dolor de cabeza o de estómago).","Su niño(a) se queja a menudo de sentirse enfermo (por ejemplo, dolor de cabeza o de estómago).","Votre enfant se plaint souvent de se sentir malade (ex: maux de tête, maux d'estomac).","Votre enfant se plaint souvent de se sentir malade (ex: maux de tête, maux d'estomac).","Uw kind klaagt vaak over zich ziek voelen (bijv: hoofdpijn, buikpijn).","Your child often complains about feeling sick (ex: headache, stomach ache)."
ChildSDQitems,parent_survey_child,Ihr Kind meidet andere oder verbringt lieber Zeit allein.,Ihr Kind meidet andere oder verbringt lieber Zeit allein.,,,Su niño(a) evita a los demás o prefiere pasar tiempo solo.,Su niño(a) evita a los demás o prefiere pasar tiempo solo.,Su niño(a) evita a los demás o prefiere pasar tiempo solo.,Votre enfant évite les autres ou préfère passer du temps seul.,Votre enfant évite les autres ou préfère passer du temps seul.,Uw kind vermijdt anderen of geeft de voorkeur aan tijd alleen doorbrengen.,Your child avoids others or prefers to spend time alone.
ChildSDQitems,parent_survey_child,Ihr Kind ist oft besorgt oder ängstlich.,Ihr Kind ist oft besorgt oder ängstlich.,,,Su niño(a) suele estar preocupado o ansioso.,Su niño(a) suele estar preocupado o ansioso.,Su niño(a) suele estar preocupado o ansioso.,Votre enfant est souvent inquiet ou anxieux.,Votre enfant est souvent inquiet ou anxieux.,Uw kind maakt zich vaak zorgen of is angstig.,Your child is often worried or anxious.
ChildSDQitems,parent_survey_child,Ihr Kind zappelt häufig herum.,Ihr Kind zappelt häufig herum.,,,Su niño(a) está inquieto con frecuencia.,Su niño(a) está inquieto con frecuencia.,Su niño(a) está inquieto con frecuencia.,Votre enfant gigote fréquemment.,Votre enfant gigote fréquemment.,Uw kind friemelt vaak.,You child frequently fidgets.
ChildSDQitems,parent_survey_child,Ihr Kind hat einen (oder mehrere) gute Freunde.,Ihr Kind hat einen (oder mehrere) gute Freunde.,,,Su niño(a) tiene uno(a) (o más) buenos amigos(as).,Su niño(a) tiene uno(a) (o más) buenos amigos(as).,Su niño(a) tiene uno(a) (o más) buenos amigos(as).,Votre enfant a un (ou plusieurs) bons amis.,Votre enfant a un (ou plusieurs) bons amis.,Uw kind heeft een (of meer) goede vrienden.,Your child has one (or more) good friends.
ChildSDQitems,parent_survey_child,"Ihr Kind wirkt oft traurig, deprimiert oder niedergeschlagen.", deprimiert oder niedergeschlagen.", deprimiert oder niedergeschlagen.",,,"Su niño(a) parece triste, deprimido o decaído con frecuencia.","Su niño(a) parece triste, deprimido o decaído con frecuencia.","Su niño(a) parece triste, deprimido o decaído con frecuencia.","Votre enfant semble souvent triste, déprimé ou abattu.","Votre enfant semble souvent triste, déprimé ou abattu.","Uw kind lijkt vaak verdrietig, depressief of down.","You child often seems sad, depressed, or down."
ChildSDQitems,parent_survey_child,Ihr Kind versteht sich mit anderen Kindern.,Ihr Kind versteht sich mit anderen Kindern.,,,Su niño(a) se lleva bien con otros niños.,Su niño(a) se lleva bien con otros niños.,Su niño(a) se lleva bien con otros niños.,Votre enfant s'entend bien avec d'autres enfants.,Votre enfant s'entend bien avec d'autres enfants.,Uw kind kan goed opschieten met andere kinderen.,Your child gets along with other children.
ChildSDQitems,parent_survey_child,"Ihr Kind lässt sich leicht ablenken oder hat Schwierigkeiten, bei der Sache zu bleiben.", bei der Sache zu bleiben.", bei der Sache zu bleiben.",,,Su niño(a) se distrae con facilidad o le cuesta concentrarse.,Su niño(a) se distrae con facilidad o le cuesta concentrarse.,Su niño(a) se distrae con facilidad o le cuesta concentrarse.,Votre enfant se distrait facilement ou a du mal à rester concentré.,Votre enfant se distrait facilement ou a du mal à rester concentré.,Uw kind laat zich gemakkelijk afleiden of heeft moeite om gefocust te blijven.,Your child gets distracted easily or has trouble staying on task.
ChildSDQitems,parent_survey_child,Ihr Kind ist schüchtern oder anhänglich.,Ihr Kind ist schüchtern oder anhänglich.,,,Su niño(a) es tímido o apegado.,Su niño(a) es tímido o apegado.,Su niño(a) es tímido o apegado.,Votre enfant est timide ou collant.,Votre enfant est timide ou collant.,Uw kind is verlegen of aanhankelijk.,Your child is shy or clingy.
ChildSDQitems,parent_survey_child,Ihr Kind geht freundlich mit jüngeren Kindern um.,Ihr Kind geht freundlich mit jüngeren Kindern um.,,,Su niño(a) trata bien a los niños(as) más pequeños.,Su niño(a) trata bien a los niños(as) más pequeños.,Su niño(a) trata bien a los niños(as) más pequeños.,Votre enfant traite gentiment les enfants plus jeunes.,Votre enfant traite gentiment les enfants plus jeunes.,Uw kind behandelt jongere kinderen vriendelijk.,Your child treats younger children nicely.
ChildSDQitems,parent_survey_child,"Ihr Kind zeigt oft unehrliches Verhalten (z. B. lügen, betrügen).", betrügen).", betrügen).",,,"Su niño(a) muestra a menudo un comportamiento deshonesto (por ejemplo, miente, engaña).","Su niño(a) muestra a menudo un comportamiento deshonesto (por ejemplo, miente, engaña).","Su niño(a) muestra a menudo un comportamiento deshonesto (por ejemplo, miente, engaña).","Votre enfant montre souvent un comportement malhonnête (ex: mensonge, triche).","Votre enfant montre souvent un comportement malhonnête (ex: mensonge, triche).","Uw kind vertoont vaak oneerlijk gedrag (bijv. liegen, spieken).","Your child often shows dishonest behavior (e.g. lying, cheating)."
ChildSDQitems,parent_survey_child,"Ihr Kind hat ohne Erlaubnis Dinge von zu Hause, aus der Schule oder von anderswo mitgenommen.", aus der Schule oder von anderswo mitgenommen.", aus der Schule oder von anderswo mitgenommen.",,,"Su niño(a) ha tomado cosas sin permiso de la casa, del colegio o de otro sitio.","Su niño(a) ha tomado cosas sin permiso de la casa, del colegio o de otro sitio.","Su niño(a) ha tomado cosas sin permiso de la casa, del colegio o de otro sitio.","Votre enfant a pris des choses sans permission de la maison, de l'école ou d'ailleurs.","Votre enfant a pris des choses sans permission de la maison, de l'école ou d'ailleurs.","Uw kind heeft dingen zonder toestemming meegenomen van thuis, school of elders.","Your child has taken things without permission from home, school, or elsewhere."
ChildSDQitems,parent_survey_child,Ihr Kind bevorzugt Erwachsene gegenüber Kindern.,Ihr Kind bevorzugt Erwachsene gegenüber Kindern.,,,Su niño(a) prefiere a los adultos que a los niños.,Su niño(a) prefiere a los adultos que a los niños.,Su niño(a) prefiere a los adultos que a los niños.,Votre enfant préfère les adultes aux enfants.,Votre enfant préfère les adultes aux enfants.,Uw kind geeft de voorkeur aan volwassenen boven kinderen.,Your child prefers adults to children.
ChildSDQitems,parent_survey_child,Ihr Kind ist oft nervös oder ängstlich.,Ihr Kind ist oft nervös oder ängstlich.,Your child is often nervous or fearful.,Your child is often nervous or fearful.,Su niño(a) suele estar nervioso o temeroso.,Su niño(a) suele estar nervioso o temeroso.,Su niño(a) suele estar nervioso o temeroso.,Votre enfant est souvent nerveux ou craintif.,Votre enfant est souvent nerveux ou craintif.,Uw kind is vaak nerveus of bang.,Your child is often nervous or fearful.
ChildSCSitems,parent_survey_child,"Bitte geben Sie an, <b>wie gut</b> jede Aussage Ihr Kind beschreibt.", <b>wie gut</b> jede Aussage Ihr Kind beschreibt.", <b>wie gut</b> jede Aussage Ihr Kind beschreibt.",,,"Por favor, indique <i>qué tanto</i> describe cada enunciado a su niño(a).","Por favor, indique <i>qué tanto</i> describe cada enunciado a su niño(a).","Por favor, indique <i>qué tanto</i> describe cada enunciado a su niño(a).",Veuillez indiquer <i>à quel point</i> chaque déclaration décrit votre enfant.,Veuillez indiquer <i>à quel point</i> chaque déclaration décrit votre enfant.,Geef aan <i>hoe goed</i> elke uitspraak uw kind beschrijft.,Please indicate <i>how well</i> each statement describes your child.
ChildSCSitems,parent_survey_child,Stimmt überhaupt nicht zu,Stimmt überhaupt nicht zu,,,Para nada,Para nada,Para nada,Pas du tout,Pas du tout,Helemaal niet,Not at all
ChildSCSitems,parent_survey_child,Stimmt eher nicht zu,Stimmt eher nicht zu,,,Un poco,Un poco,Un poco,Pas très bien,Pas très bien,Niet zo goed,Not very well
ChildSCSitems,parent_survey_child,Stimmt eher zu,Stimmt eher zu,,,Bastante,Bastante,Bastante,Assez bien,Assez bien,Redelijk goed,Somewhat well
ChildSCSitems,parent_survey_child,Stimmt voll und ganz zu,Stimmt voll und ganz zu,,,Completamente,Completamente,Completamente,Très bien,Très bien,Heel goed,Very well
ChildSCSitems,parent_survey_child,"Ihr Kind akzeptiert die Dinge, wenn sie nicht seinen Vorstellungen entsprechen.", wenn sie nicht seinen Vorstellungen entsprechen.", wenn sie nicht seinen Vorstellungen entsprechen.",,,Su niño(a) acepta las cosas cuando no salen como quiere.,Su niño(a) acepta las cosas cuando no salen como quiere.,Su niño(a) acepta las cosas cuando no salen como quiere.,Votre enfant accepte les choses quand elles ne vont pas dans son sens.,Votre enfant accepte les choses quand elles ne vont pas dans son sens.,Uw kind accepteert dingen als ze niet gaan zoals zij willen.,Your child accepts things when they do not go their way.
ChildSCSitems,parent_survey_child,Ihr Kind kann gut mit Misserfolgen umgehen.,Ihr Kind kann gut mit Misserfolgen umgehen.,,,Su niño(a) afronta bien el fracaso.,Su niño(a) afronta bien el fracaso.,Su niño(a) afronta bien el fracaso.,Votre enfant gère bien l'échec.,Votre enfant gère bien l'échec.,Uw kind gaat goed om met falen.,Your child copes well with failure.
ChildSCSitems,parent_survey_child,"Ihr Kind denkt nach, bevor es handelt.", bevor es handelt.", bevor es handelt.",,,Su niño(a) piensa antes de actuar.,Su niño(a) piensa antes de actuar.,Su niño(a) piensa antes de actuar.,Votre enfant réfléchit avant d'agir.,Votre enfant réfléchit avant d'agir.,Uw kind denkt na voordat zij handelen.,Your child thinks before acting.
ChildSCSitems,parent_survey_child,Ihr Kind löst Probleme mit Freunden selbständig.,Ihr Kind löst Probleme mit Freunden selbständig.,,,Su niño(a) resuelve por sí mismo los problemas con sus amigos.,Su niño(a) resuelve por sí mismo los problemas con sus amigos.,Su niño(a) resuelve por sí mismo los problemas con sus amigos.,Votre enfant résout seul les problèmes avec ses amis.,Votre enfant résout seul les problèmes avec ses amis.,Uw kind lost zelf problemen op met vrienden.,Your child resolves problems with friends on their own.
ChildSCSitems,parent_survey_child,"Ihr Kind kann sich beruhigen, wenn es aufgeregt ist.", wenn es aufgeregt ist.", wenn es aufgeregt ist.",,,Su niño(a) sabe calmarse cuando se altera.,Su niño(a) sabe calmarse cuando se altera.,Su niño(a) sabe calmarse cuando se altera.,Votre enfant peut se calmer quand il est excité.,Votre enfant peut se calmer quand il est excité.,Uw kind kan zichzelf kalmeren wanneer zij opgewonden zijn.,Your child can calm down when excited.
ChildSCSitems,parent_survey_child,"Ihr Kind tut, was ihm gesagt wird.", was ihm gesagt wird.", was ihm gesagt wird.",,,Su niño(a) hace lo que se le pide.,Su niño(a) hace lo que se le pide.,Su niño(a) hace lo que se le pide.,Votre enfant fait ce qu'on lui dit de faire.,Votre enfant fait ce qu'on lui dit de faire.,Uw kind doet wat haar gevraagd wordt te doen.,Your child does what they are told to do.
ChildSCSitems,parent_survey_child,"Ihr Kind ist gut darin, die Gefühle anderer zu verstehen.", die Gefühle anderer zu verstehen.", die Gefühle anderer zu verstehen.",,,Su niño(a) comprende bien los sentimientos de los demás.,Su niño(a) comprende bien los sentimientos de los demás.,Su niño(a) comprende bien los sentimientos de los demás.,Votre enfant est doué pour comprendre les sentiments des autres.,Votre enfant est doué pour comprendre les sentiments des autres.,Uw kind is goed in het begrijpen van de gevoelens van anderen.,Your child is good at understanding others' feelings.
ChildSCSitems,parent_survey_child,"Ihr Kind beherrscht sein Temperament, wenn es eine Meinungsverschiedenheit gibt.", wenn es eine Meinungsverschiedenheit gibt.", wenn es eine Meinungsverschiedenheit gibt.",,,Su niño(a) controla su carácter cuando hay desacuerdos.,Su niño(a) controla su carácter cuando hay desacuerdos.,Su niño(a) controla su carácter cuando hay desacuerdos.,Votre enfant contrôle sa colère lorsqu'il y a un désaccord.,Votre enfant contrôle sa colère lorsqu'il y a un désaccord.,Uw kind beheerst zijn/haar humeur bij een meningsverschil.,Your child controls their temper when there is a disagreement.
ChildSCSitems,parent_survey_child,Ihr Kind teilt Dinge mit anderen.,Ihr Kind teilt Dinge mit anderen.,,,Su niño(a) comparte las cosas con los demás.,Su niño(a) comparte las cosas con los demás.,Su niño(a) comparte las cosas con los demás.,Votre enfant partage ses affaires avec les autres.,Votre enfant partage ses affaires avec les autres.,Uw kind deelt dingen met anderen.,Your child shares things with others.
ChildSCSitems,parent_survey_child,Ihr Kind ist hilfsbereit gegenüber anderen.,Ihr Kind ist hilfsbereit gegenüber anderen.,,,Su niño(a) ayuda a los demás.,Su niño(a) ayuda a los demás.,Su niño(a) ayuda a los demás.,Votre enfant est serviable avec les autres.,Votre enfant est serviable avec les autres.,Uw kind is behulpzaam voor anderen.,Your child is helpful to others.
