identifier,labels,source,en-US,de,de_CH,es,es_AR,es_CO,fr,fr_CA,nl,en,es-CO,fr-CA,de-CH,es-AR,en-GH
HomeHOME24f,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
HomeHOME24g,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
HomeHOME24h,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
HomeHOME24i,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
HomeHOME24j,parent_survey_child,"Other, please specify","Other, please specify","Sonstiges, bitte angeben","Sonstiges, bitte angeben","Otra acción, especifique cuál","Otra acción, especifique cuál","Otra acción, especifique cuál","Autre, veuillez préciser","Autre, veuillez préciser","Anders, graag specificeren","Other, please specify","Otra acción, especifique cuál","Autre, veuillez préciser","Sonstiges, bitte angeben","Otra acción, especifique cuál","Other, please specify"
HomeHOME25,parent_survey_child,Almost never,Almost never,Fast nie,Fast nie,Casi nunca,Casi nunca,Casi nunca,Presque jamais,Presque jamais,Bijna nooit,Almost never,Casi nunca,Presque jamais,Fast nie,Casi nunca,Almost never
HomeHOME26,parent_survey_child,Almost never,Almost never,Fast nie,Fast nie,Casi nunca,Casi nunca,Casi nunca,Presque jamais,Presque jamais,Bijna nooit,Almost never,Casi nunca,Presque jamais,Fast nie,Casi nunca,Almost never
HomeHOME27,parent_survey_child,Almost never,Almost never,Fast nie,Fast nie,Casi nunca,Casi nunca,Casi nunca,Presque jamais,Presque jamais,Bijna nooit,Almost never,Casi nunca,Presque jamais,Fast nie,Casi nunca,Almost never
HomeHOME28,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
HomeHOME29,parent_survey_child,Never,Never,Nie,Nie,Nunca,Nunca,Nunca,Jamais,Jamais,Nooit,Never,Nunca,Jamais,Nie,Nunca,Never
HomeHOME30,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
HomeHOME31,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
HomeHOME32,parent_survey_child,Never,Never,Nie,Nie,Nunca,Nunca,Nunca,Jamais,Jamais,Nooit,Never,Nunca,Jamais,Nie,Nunca,Never
HomeHOME33,parent_survey_child,Almost never,Almost never,Fast nie,Fast nie,Casi nunca,Casi nunca,Casi nunca,Presque jamais,Presque jamais,Bijna nooit,Almost never,Casi nunca,Presque jamais,Fast nie,Casi nunca,Almost never
HomeHOME34,parent_survey_child,Almost never,Almost never,Fast nie,Fast nie,Casi nunca,Casi nunca,Casi nunca,Presque jamais,Presque jamais,Bijna nooit,Almost never,Casi nunca,Presque jamais,Fast nie,Casi nunca,Almost never
HomeHOME35,parent_survey_child,Almost never,Almost never,Fast nie,Fast nie,Casi nunca,Casi nunca,Casi nunca,Presque jamais,Presque jamais,Bijna nooit,Almost never,Casi nunca,Presque jamais,Fast nie,Casi nunca,Almost never
HomeHOME36,parent_survey_child,Almost never,Almost never,Fast nie,Fast nie,Casi nunca,Casi nunca,Casi nunca,Presque jamais,Presque jamais,Bijna nooit,Almost never,Casi nunca,Presque jamais,Fast nie,Casi nunca,Almost never
HomeHOME37,parent_survey_child,Almost never,Almost never,Fast nie,Fast nie,Casi nunca,Casi nunca,Casi nunca,Presque jamais,Presque jamais,Bijna nooit,Almost never,Casi nunca,Presque jamais,Fast nie,Casi nunca,Almost never
HomeHOME38,parent_survey_child,Almost never,Almost never,Fast nie,Fast nie,Casi nunca,Casi nunca,Casi nunca,Presque jamais,Presque jamais,Bijna nooit,Almost never,Casi nunca,Presque jamais,Fast nie,Casi nunca,Almost never
SelfParentStressNCSHh9,parent_survey_child,angry with your child?,angry with your child?,wütend auf Ihr Kind zu sein?,wütend auf Ihr Kind zu sein?,rabia hacia su niño(a)?,rabia hacia su niño(a)?,rabia hacia su niño(a)?,en colère contre votre enfant ?,en colère contre votre enfant ?,boos op uw kind?,angry with your child?,rabia hacia su niño(a)?,en colère contre votre enfant ?,wütend auf Ihr Kind zu sein?,rabia hacia su niño(a)?,angry with your child?
SelfParentRohner,parent_survey_child,I treat my child gently and kindly.,I treat my child gently and kindly.,Ich behandle mein Kind sanft und freundlich.,Ich behandle mein Kind sanft und freundlich.,Trato a mi niño(a) con delicadeza y amabilidad.,Trato a mi niño(a) con delicadeza y amabilidad.,Trato a mi niño(a) con delicadeza y amabilidad.,Je traite mon enfant avec douceur et gentillesse.,Je traite mon enfant avec douceur et gentillesse.,Ik behandel mijn kind zacht en vriendelijk.,I treat my child gently and kindly.,Trato a mi niño(a) con delicadeza y amabilidad.,Je traite mon enfant avec douceur et gentillesse.,Ich behandle mein Kind sanft und freundlich.,Trato a mi niño(a) con delicadeza y amabilidad.,I treat my child gently and kindly.
SelfParentMICS,parent_survey_child,All adults use certain ways to teach children the right behavior or to address a behavior problem. Please read the following methods that are used and select whether you or anyone else in your household has used this with your child in the <b>past month</b>.,All adults use certain ways to teach children the right behavior or to address a behavior problem. Please read the following methods that are used and select whether you or anyone else in your household has used this with your child in the <b>past month</b>.,"Alle Erwachsenen verwenden bestimmte Methoden, um Kindern das richtige Verhalten beizubringen oder ein Verhaltensproblem anzugehen. Bitte lesen Sie die folgenden Methoden und wählen Sie aus, ob Sie oder eine andere Person in Ihrem Haushalt diese im <b>letzten Monat</b> bei diesem Kind angewendet hat.","Alle Erwachsenen verwenden bestimmte Methoden, um Kindern das richtige Verhalten beizubringen oder ein Verhaltensproblem anzugehen. Bitte lesen Sie die folgenden Methoden und wählen Sie aus, ob Sie oder eine andere Person in Ihrem Haushalt diese im <b>letzten Monat</b> bei diesem Kind angewendet hat.","Todos los adultos utilizan ciertos métodos para enseñar a los niños(as) el comportamiento correcto o para abordar un problema de comportamiento. Por favor, lea los siguientes métodos y, para cada uno, seleccione si usted u otra persona de su hogar lo ha utilizado con este niño(a) en el <b>último mes</b>.","Todos los adultos utilizan ciertos métodos para enseñar a los niños(as) el comportamiento correcto o para abordar un problema de comportamiento. Por favor, lea los siguientes métodos y, para cada uno, seleccione si usted u otra persona de su hogar lo ha utilizado con este niño(a) en el <b>último mes</b>.","Todos los adultos utilizan ciertos métodos para enseñar a los niños(as) el comportamiento correcto o para abordar un problema de comportamiento. Por favor, lea los siguientes métodos y, para cada uno, seleccione si usted u otra persona de su hogar lo ha utilizado con este niño(a) en el <b>último mes</b>.",Tous les adultes adoptent certaines méthodes pour enseigner aux enfants le bon comportement ou pour résoudre un problème de comportement. Veuillez lire les méthodes suivantes qui sont utilisées et sélectionner si vous ou quelqu'un d'autre dans votre foyer avez utilisé cela avec votre enfant au cours du <b>mois passé</b>.,Tous les adultes adoptent certaines méthodes pour enseigner aux enfants le bon comportement ou pour résoudre un problème de comportement. Veuillez lire les méthodes suivantes qui sont utilisées et sélectionner si vous ou quelqu'un d'autre dans votre foyer avez utilisé cela avec votre enfant au cours du <b>mois passé</b>.,Alle volwassenen gebruiken bepaalde manieren om kinderen het juiste gedrag bij te brengen of om een gedragsprobleem aan te pakken. Lees alstublieft de volgende methoden en selecteer of u of een ander persoon in uw huishouden dit in de <b>afgelopen maand</b> bij dit kind heeft gebruikt.,All adults use certain ways to teach children the right behavior or to address a behavior problem. Please read the following methods that are used and select whether you or anyone else in your household has used this with your child in the <b>past month</b>.,"Todos los adultos utilizan ciertos métodos para enseñar a los niños(as) el comportamiento correcto o para abordar un problema de comportamiento. Por favor, lea los siguientes métodos y, para cada uno, seleccione si usted u otra persona de su hogar lo ha utilizado con este niño(a) en el <b>último mes</b>.",Tous les adultes adoptent certaines méthodes pour enseigner aux enfants le bon comportement ou pour résoudre un problème de comportement. Veuillez lire les méthodes suivantes qui sont utilisées et sélectionner si vous ou quelqu'un d'autre dans votre foyer avez utilisé cela avec votre enfant au cours du <b>mois passé</b>.,"Alle Erwachsenen verwenden bestimmte Methoden, um Kindern das richtige Verhalten beizubringen oder ein Verhaltensproblem anzugehen. Bitte lesen Sie die folgenden Methoden und wählen Sie aus, ob Sie oder eine andere Person in Ihrem Haushalt diese im <b>letzten Monat</b> bei diesem Kind angewendet hat.","Todos los adultos utilizan ciertos métodos para enseñar a los niños(as) el comportamiento correcto o para abordar un problema de comportamiento. Por favor, lea los siguientes métodos y, para cada uno, seleccione si usted u otra persona de su hogar lo ha utilizado con este niño(a) en el <b>último mes</b>.",All adults use certain ways to teach children the right behavior or to address a behavior problem. Please read the following methods that are used and select whether you or anyone else in your household has used this with your child in the <b>past month</b>.
SelfParentMICS1,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfParentMICS2,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfParentMICS4,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfParentMICS6,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfParentMICS12,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
unknown,parent_survey_child,Finish,Finish,Beenden,,Terminar,,,,,Afsluiten,Finish,Terminar,Terminer,Beenden,Terminar,Finish
